Species,Museum,Catalog,ID,TL,SVL,TAL,HL,HW,HH,HE,HP,HN,MBW,MBH,CW,CH,Ven,SC,MID,PO,SO,SL,IL,IOS,Longitude,Latitude,Stage
P_yucatanicum,FMNH,36179,P_yucatanicum_36179,6.079933195,5.948034989,3.868111114,3.137199842,2.483538707,2.201755771,2.794152142,2.93566735,3.084975239,2.294464824,2.084928924,1.485125967,1.399149668,150,36,25,2,1,10,13,6,-88.727897,20.711984,adult
P_yucatanicum,FMNH,36180,P_yucatanicum_36180,6.107022888,5.983936281,3.804584887,2.918932873,2.650372468,2.188047181,2.523882501,2.701759904,2.830343268,2.142212247,2.076419884,1.60184059,1.796009341,151,30,23,NA,NA,9,11,9,-89.043647,20.800715,juvenile
P_yucatanicum,FMNH,36181,P_yucatanicum_36181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,152,NA,25,NA,NA,NA,NA,NA,-88.726224,20.709254,juvenile
P_yucatanicum,FMNH,36182,P_yucatanicum_36182,6.152732695,5.996452089,4.029339024,2.984893449,2.597348292,2.054743765,2.573375413,2.760210964,2.919297015,2.07105131,2.139529888,1.492669833,1.56837055,150,41,25,2,2,10,11,7,-89.044591,20.794697,juvenile
P_yucatanicum,FMNH,36183,P_yucatanicum_36183,6.255750042,NA,NA,3.199147707,NA,NA,NA,NA,3.023659472,2.586657984,2.384255755,1.91074647,1.511782853,157,NA,25,2,1,10,12,9,-89.041759,20.791849,juvenile
P_yucatanicum,FMNH,36184,P_yucatanicum_36184,5.834810737,5.673323267,4.044277714,3.05401483,2.616452943,2.20181204,2.716531102,2.871787647,2.989914243,2.494477009,2.36895379,1.65681058,1.733541595,145,38,25,3,3,9,11,5,-88.804076,20.709809,adult
P_yucatanicum,FMNH,36185,P_yucatanicum_36185,6.11368218,5.983936281,3.854335565,2.878759057,2.500189441,1.950088544,2.471559568,2.635922604,2.787343358,2.165862368,1.605729995,1.516000611,1.596217756,149,38,23,2,2,9,11,8,-89.046093,20.799351,juvenile
P_yucatanicum,FMNH,36186,P_yucatanicum_36186,6.222576268,6.100318952,3.803792241,3.17875385,2.822737486,2.309358587,2.798324579,2.951722384,3.074840295,2.463342611,2.471660301,1.674788799,1.651784736,151,35,25,3,1,10,13,6,-88.728026,20.712144,NA
P_yucatanicum,FMNH,36187,P_yucatanicum_36187,6.056784013,5.902633333,4.012035972,2.969983145,2.591188362,2.100504361,2.589693021,2.74498355,2.875806641,2.076173232,2.105534744,1.718048862,1.769666386,151,40,23,2,1,10,11,7,-88.727661,20.714272,juvenile
P_yucatanicum,FMNH,36188,P_yucatanicum_36188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,23,2,2,11,12,7,-88.58861111,20.69805556,juvenile
P_yucatanicum,KU,70909,P_yucatanicum_70909,5.488937726,5.342334252,3.938186209,2.930378816,2.687325172,1.861583646,2.577511606,2.749930739,2.882721586,2.338139311,1.789746136,1.620515992,1.51903784,149,38,25,2,1,10,11,7,-88.58861111,20.69805556,juvenile
P_yucatanicum,KU,70910,P_yucatanicum_70910,5.402677382,5.298317367,3.614829841,3.0174827,2.84893853,2.080796563,2.594599155,2.750501832,2.912809489,2.161409408,2.152853196,1.708071268,1.632132058,158,35,25,2,2,9,12,8,-89.44,18.51,NA
P_yucatanicum,KU,157666,P_yucatanicum_157666,6.11146734,5.963579344,3.976245008,3.088021648,2.496200301,2.140383409,2.697844023,2.8665038,2.957250297,2.482114642,2.348493573,1.76174021,1.98757421,150,38,25,3,1,10,12,8,-88.36,20.1,adult
P_yucatanicum,KU,157667,P_yucatanicum_157667,5.505331536,5.356586275,3.952434377,3.070267258,2.815679212,2.028629214,2.715462288,2.905818356,3.032126179,2.509384693,2.270089743,1.702323007,1.68997132,151,36,25,3,1,10,13,8,-88.54,20.04,adult
P_yucatanicum,KU,157668,P_yucatanicum_157668,6.084499413,5.932245187,4.001915001,3.101721712,2.586263973,2.018915697,2.719806524,2.892710877,3.011665975,2.391998953,2.125001616,1.575966033,1.488259247,150,40,25,2,1,9,12,6,-89.09,21.2,adult
P_yucatanicum,KU,171741,P_yucatanicum_171741,6.115892125,5.978885765,3.905341807,3.000590085,2.582752288,1.917085275,2.674250886,2.817921752,2.97745911,2.405629153,2.254037587,1.453915873,1.662663314,153,38,25,2,1,9,10,7,-88.260614,19.974646,adult
P_yucatanicum,KU,301561,P_yucatanicum_301561,5.365976015,5.225746674,3.890926873,3.095754984,2.717996974,2.182189931,2.685077775,2.879043296,3.0030929,2.472706923,2.290117702,1.482877395,1.672556389,146,41,25,1,1,9,10,6,-88.256322,19.973033,juvenile
P_yucatanicum,KU,301562,P_yucatanicum_301562,5.407171771,5.262690189,3.920706689,3.059826679,2.593759319,2.161768701,2.538366387,2.723245066,2.889238229,2.239125129,2.190349001,1.413916858,1.754871752,145,37,25,2,1,9,10,8,,,juvenile
